status_id,user_id,text,is_quote_status,retweet_count,favorite_count,favorited,retweeted,created_at,filename
"1214881056605822977","2401990086","RT @QuixoticQuant: @NASA @NASAEarth That plume near Nowra must be the one that @mortie23 and @astromike91 saw that day, and I saw when flyi…",false,4,0,false,false,"Wed Jan 08 12:06:29 +0000 2020","mortie23-1.json"
"1214703919453986817","1208522956801859584","RT @QuixoticQuant: @mortie23 If that was near Bowral, quite likely this is the same one from the air. Definitely Pyrocumulus I think. Was p…",false,71,0,false,false,"Wed Jan 08 00:22:37 +0000 2020","mortie23-1.json"
"1214428242637205504","766212024313516032","RT @QuixoticQuant: @NASA @NASAEarth That plume near Nowra must be the one that @mortie23 and @astromike91 saw that day, and I saw when flyi…",false,4,0,false,false,"Tue Jan 07 06:07:10 +0000 2020","mortie23-1.json"
"1214342878056419329","166123391","RT @QuixoticQuant: @NASA @NASAEarth That plume near Nowra must be the one that @mortie23 and @astromike91 saw that day, and I saw when flyi…",false,4,0,false,false,"Tue Jan 07 00:27:58 +0000 2020","mortie23-1.json"
"1214336244722757632","896627770662371328","@NASA @NASAEarth That plume near Nowra must be the one that @mortie23 and @astromike91 saw that day, and I saw when flying into Sydney. Pyrocumulonimbus aka #firestorm! #australiafire #bushfiresAustralia #bushfiresNSW https://t.co/YUTZMe0Z1t",false,4,10,false,false,"Tue Jan 07 00:01:36 +0000 2020","mortie23-1.json"
"1214144597481447424","274755902","@QuixoticQuant @mortie23 @NSWRFS @abcnews @BOM_NSW @NBCNews Noted re. credit. I'm in a newsgathering stage right now, so can't say for sure if we will use them. If we do, I will circla back and let you know!",false,0,1,false,false,"Mon Jan 06 11:20:04 +0000 2020","mortie23-1.json"
"1214142895021625344","896627770662371328","@cradnofsky @mortie23 @NSWRFS @abcnews @BOM_NSW @NBCNews Yes, took them myself. Happy for you to share if acknowledged, name and twitter handle, and you can send me a link too once published.",false,0,0,false,false,"Mon Jan 06 11:13:18 +0000 2020","mortie23-1.json"
"1214134625217458176","274755902","@QuixoticQuant @mortie23 @NSWRFS @abcnews @BOM_NSW Hi Aidan, I'm a reporter for @NBCNews. Glad to hear you're not in any danger. If I'm correct that you took these photos yourself, will you give NBCU permission to share these photos on all our platforms and partners with credit to you? Thanks so much.",false,0,0,false,false,"Mon Jan 06 10:40:26 +0000 2020","mortie23-1.json"
"1214124082368778240","274755902","@mortie23 Hi Christopher, I hope you're safe and okay. I'm a reporter for @NBCNews. Did you film this video yourself? If so, will you give NBCU permission to share it on all of our platforms and partners? Thanks!",false,0,0,false,false,"Mon Jan 06 09:58:33 +0000 2020","mortie23-1.json"
"1214121351948185600","3291787650","@mortie23 Thank you very much!:))))",false,0,0,false,false,"Mon Jan 06 09:47:42 +0000 2020","mortie23-1.json"
