user_id,screen_name,location,description,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,created_at,filename
"2401990086","TerrySmyth4","Colchester","Community Fellow, History Department, Essex University. PhD:  researched the children of Far East Prisoners of War. Governor at Colchester Institute.",383,754,18,12755,false,21783,"Fri Mar 21 18:51:15 +0000 2014","mortie23-1.json"
"1208522956801859584","Kym_Ulv","","“Life isn’t measured by the # of ur breathes, but by what takes ur breath away.”",0,4,0,10,false,2,"Sat Dec 21 23:02:05 +0000 2019","mortie23-1.json"
"766212024313516032","BalinaListig","Erde","Wake up. Kick ass. Repeat.",28,149,1,15956,false,2095,"Thu Aug 18 09:55:56 +0000 2016","mortie23-1.json"
"166123391","mortie23","Australia","Australian, Cricket in the summer, football in the winter, loves my family and technology.",110,230,7,211,false,389,"Tue Jul 13 11:31:28 +0000 2010","mortie23-1.json"
"896627770662371328","QuixoticQuant","Sydney, New South Wales","Lapsed physicist turned entrepreneur and blogger with an interest in small bars, small boats, and big data",112,221,4,404,false,389,"Sun Aug 13 07:01:33 +0000 2017","mortie23-1.json"
"274755902","cradnofsky","London, UK","Senior Social Newsgathering Reporter for @NBCNews. British/Norwegian/Texan - your pick. Insatiable #OSINT devotee. My DMs are open.",1088,2847,33,1453,true,4049,"Thu Mar 31 00:02:21 +0000 2011","mortie23-1.json"
"896627770662371328","QuixoticQuant","Sydney, New South Wales","Lapsed physicist turned entrepreneur and blogger with an interest in small bars, small boats, and big data",112,221,4,404,false,389,"Sun Aug 13 07:01:33 +0000 2017","mortie23-1.json"
"274755902","cradnofsky","London, UK","Senior Social Newsgathering Reporter for @NBCNews. British/Norwegian/Texan - your pick. Insatiable #OSINT devotee. My DMs are open.",1088,2847,33,1453,true,4049,"Thu Mar 31 00:02:21 +0000 2011","mortie23-1.json"
"274755902","cradnofsky","London, UK","Senior Social Newsgathering Reporter for @NBCNews. British/Norwegian/Texan - your pick. Insatiable #OSINT devotee. My DMs are open.",1088,2847,33,1453,true,4049,"Thu Mar 31 00:02:21 +0000 2011","mortie23-1.json"
"3291787650","spectee_news","Tokyo, Japan","Spectee is a Tokyo-based online news agency that specializes in curating and publishing real-time social media UGC videos and photos.",3252,414,45,4334,false,58933,"Sat Jul 25 04:37:07 +0000 2015","mortie23-1.json"
"2398548098","RevShareGlobal","United States","",50,46,0,29,false,1947,"Wed Mar 19 22:40:24 +0000 2014","mortie23-1.json"
"896627770662371328","QuixoticQuant","Sydney, New South Wales","Lapsed physicist turned entrepreneur and blogger with an interest in small bars, small boats, and big data",112,221,4,404,false,389,"Sun Aug 13 07:01:33 +0000 2017","mortie23-1.json"
"101172517","arutweets","","",14,63,5,217,false,249,"Sat Jan 02 08:15:39 +0000 2010","mortie23-1.json"
"851418462","MissMyraP","Charleston, SC","Proud Southern Conservative FURIOUS with the muslim INVASION of America🇺🇸Blocked by Charles & Camilla😆 #BanSharia #MAGA #BlueLivesMatter",498,842,1,7260,false,6434,"Fri Sep 28 17:14:49 +0000 2012","mortie23-1.json"
"805224570181468160","gavin_hsieh","中国/Australia","野生交易员 metatrader4 trader/50年视角/他人即地狱/",808,111,22,3000,false,4956,"Sun Dec 04 01:37:52 +0000 2016","mortie23-1.json"
"633805058","WTF_Bill","Chicago, IL","Macro Voodoo - Grains, Meats, and Stuff",733,4158,7,21168,false,7343,"Thu Jul 12 15:11:07 +0000 2012","mortie23-1.json"
"164562133","Rugger46","Florida","Common Sense Poltics",84,345,11,3645,false,2581,"Fri Jul 09 04:56:31 +0000 2010","mortie23-1.json"
"1177123785809350657","JamesTinker18","Melbourne, Victoria","",3,53,0,31,false,62,"Thu Sep 26 07:32:56 +0000 2019","mortie23-1.json"
"41973345","Cecilia_St","Sydney, Australia","Traveller, coffee snob, foodie (cook of worlds best Schnitzel), politics, bad speller. Financial Services, Advice, Super, digital. Opinions are my own.",1331,2319,350,9487,false,40323,"Sat May 23 04:22:45 +0000 2009","mortie23-1.json"
"16517339","sharon_elle","Seasonal Migration","Small earnest citizen of earth. Ignorance and intolerance are at their most dangerous when fed to the hungry by the same hands that create starvation. ~ S.E.",1624,3827,72,120561,false,65990,"Mon Sep 29 19:56:15 +0000 2008","mortie23-1.json"
"2493260306","DesireBeth","Somewhere in the middle","observer, abstract thinker, life-long learner.",307,1946,4,8616,false,9998,"Tue May 13 17:02:49 +0000 2014","mortie23-1.json"
"1060330391146561536","MaureenRamsden2","Massachusetts, USA","Love beautiful fashions, sports cars, decorating, traveling, gardening and my Pom-Poo “Penelope.”   Also our two new kittens 🐱 and two older cats.  🐕",327,1033,2,13661,false,14869,"Thu Nov 08 00:37:20 +0000 2018","mortie23-1.json"
"1131929644205133824","tiger9v","India ","me",216,559,0,2964,false,7279,"Fri May 24 14:27:12 +0000 2019","mortie23-1.json"
"949532765115985922","lilleileii","","365 so stressed",58,338,0,30644,false,1876,"Sat Jan 06 06:47:07 +0000 2018","mortie23-1.json"
"952461508285489152","Fabsters08","","🐝",185,285,1,22911,false,23806,"Sun Jan 14 08:44:54 +0000 2018","mortie23-1.json"
"3299784514","teebodiesel","North West, England","Agender. Britbonger. Love my dog, my bestie and beer. Pronouns: All of them. Cheers! 🍻",464,956,2,26697,false,18192,"Tue May 26 20:48:54 +0000 2015","mortie23-1.json"
"22232322","akuma_river","Gulf Coast - Texas","Freedom of speech is a god-given right; Censorship is the work of the devil. Hate speech becomes violence. Evil people deserve shunning.  18 U.S. Code § 2381",2330,3639,343,45289,false,664226,"Sat Feb 28 05:34:42 +0000 2009","mortie23-1.json"
"706297852268515329","EkbMary","","No LISTS 📝please! 🔆WildHorses 🔆SAFEActHR961/S2006 🔆PublicLands 🔆NewsJunkie",5566,6121,82,328887,false,166827,"Sun Mar 06 01:58:25 +0000 2016","mortie23-1.json"
"832601510127214596","_Olkhon_","London, England","Jewellery designer by night.  PA @ warnermedia by day",17,226,0,44,false,35,"Fri Feb 17 14:44:03 +0000 2017","mortie23-1.json"
"762838107234312192","laurititagarza","","",1112,848,6,47537,false,24579,"Tue Aug 09 02:29:12 +0000 2016","mortie23-1.json"
"408337621","jjoshuadun","Sydney, Australia","a very (not) cool mum",7006,470,53,59216,false,150741,"Wed Nov 09 09:02:41 +0000 2011","mortie23-1.json"
"2887912837","softmikus","","Ali (or Lazii if you’re og) | 22 | ♏️ | 💖💜💙 | she/her | ICON @s_dassy | @laziiart 🎨",273,455,12,131658,false,68219,"Sun Nov 02 23:01:46 +0000 2014","mortie23-1.json"
"2920056117","_megrh","Whitby, Ontario",":)",324,284,0,16204,false,4243,"Sat Dec 13 18:39:13 +0000 2014","mortie23-1.json"
"407508934","monkeycoffin","Kalifornia","behead small business owners in the marketplace of ideas.",1291,1315,64,126537,false,124805,"Tue Nov 08 05:14:11 +0000 2011","mortie23-1.json"
"1186443401899790336","birdfren","Jersey City, NJ","German-descended settler occupying land of the Delaware (Lenape) Tribe. Grateful this land has nurtured me. Hoping to learn without fear. Bird-watcher. He/him.",79,1444,1,3423,false,4040,"Tue Oct 22 00:45:45 +0000 2019","mortie23-1.json"
"4746371054","slurpuffite","brisbane, aus ♡","♒︎ ☼ ♐︎ ☾ ♐︎ ⇡ • #auspol • she/her 🌈 gw.89",136,990,0,7038,false,27625,"Tue Jan 12 04:06:35 +0000 2016","mortie23-1.json"
